region_std,year,spi_grow_mean,spi_grow_min
Орловская область,2014,-0.817438959256029,-1.9024164321352728
Орловская область,2015,0.3678792268261062,-0.5040957651113652
Орловская область,2016,2.028917279108528,1.219582626297178
Орловская область,2017,0.12124855929209426,-1.1390255654707797
Орловская область,2018,-0.5335642805670696,-1.2226091024008008
Орловская область,2019,0.31200696556584323,-0.7379648256169521
Орловская область,2020,0.6993632225728678,-0.8052693682433638
Орловская область,2021,0.7625315571371306,-0.0790807482278611
Орловская область,2022,1.0152815515520122,0.3523526555100842
Орловская область,2023,-1.6334193135177815,-2.0223070902099853
Пензенская область,2007,0.4765037934227318,-0.5917653235180299
Пензенская область,2008,0.6588011277006303,-0.3453563231997713
Пензенская область,2009,-0.08581600464472168,-1.1288515315892222
Пензенская область,2010,-1.4841233218532333,-2.1187630990898443
Пензенская область,2011,0.29845434657559305,-0.9883720567715012
Пензенская область,2012,0.43038493220723145,-0.1561299321061702
Пензенская область,2013,0.9025625651315613,-0.5481364722713652
Пензенская область,2014,-0.6574228848676021,-1.3034080412886595
Пензенская область,2015,-0.5456584539548422,-1.2930310909624552
Пензенская область,2016,0.9247411130066071,0.0667877876421465
Пензенская область,2017,1.0856926537965508,-0.0068053446128616
Пензенская область,2018,-0.33766807899867307,-0.7416306154688729
Пензенская область,2019,-0.6250822457135512,-1.534547290996818
Пензенская область,2020,0.6805766384146507,-1.1756076547817829
Пензенская область,2021,0.45802293543746203,-0.1843141215568411
Пензенская область,2022,0.24501134548415812,-0.390577915037621
Пензенская область,2023,-1.6028367075369647,-1.9493734869982595
Пермский край,2007,0.9108954933635681,-0.8485243790975052
Пермский край,2008,0.5081568950104005,-0.6493997518516875
Пермский край,2009,0.10798531959932699,-0.7496498321631304
Пермский край,2010,-0.5928085569826357,-1.370266591494561
Пермский край,2011,0.2691023040185121,-0.9068219580088812
Пермский край,2012,0.40770677677051975,-0.9287038034436124
Пермский край,2013,-0.18024779693926873,-0.4987803351241563
Пермский край,2014,0.3385636342806914,-0.5031082460166599
Пермский край,2015,0.8494627237309959,-0.9688034774115228
Пермский край,2016,-0.36032194321403455,-0.8554389402126036
Пермский край,2017,1.2826816798903091,-0.1392918606966862
Пермский край,2018,0.25719757204643257,-0.9563344690903024
Пермский край,2019,1.1811431776833816,-0.5972816134168176
Пермский край,2020,0.10449213977913152,-0.3057351442635516
Пермский край,2021,-0.19979748366093775,-0.8823635714464875
Пермский край,2022,-0.10867609241681943,-1.1109359732100768
Пермский край,2023,-1.6253972588571848,-1.968655479674997
Приморский край,2007,0.2977089826036436,-0.3075308752532278
Приморский край,2008,0.3630488679772245,-0.9780695269622344
Приморский край,2009,0.5312310104740968,-0.6334627281688322
Приморский край,2010,0.63335730691092,-0.4166013783568671
Приморский край,2011,0.29304856850502853,-1.060315578684389
Приморский край,2012,0.5131083928817649,-0.8429465943117568
Приморский край,2013,0.852262332068405,-0.6027810758266035
Приморский край,2014,0.20191684155978584,-1.3308199571832924
Приморский край,2015,0.8896675174417427,-0.3931198707792218
Приморский край,2016,1.0704621022410281,-0.470301968013265
Приморский край,2017,0.3823538134879523,-0.8825747126292067
Приморский край,2018,0.6675997799394092,-0.975644493544794
Приморский край,2019,0.5250412442485616,-1.215826925820754
Приморский край,2020,0.8763550079733541,-0.4750773049846347
