region_std,year,month,temp_c,prec_mm,pet_proxy,water_balance,wb_3m,spei_like_3
Новосибирская область,2015,10,2.1369457,78.68378125250531,10.6847285,67.9990527525053,90.39949867848267,0.8877814724563998
Новосибирская область,2015,11,-9.022907,41.23689135321631,0.0,41.23689135321631,130.53324779178152,1.3864899856894801
Новосибирская область,2015,12,-6.8814206,59.96214623314639,0.0,59.96214623314639,169.198090338868,1.8669456263178594
Новосибирская область,2016,1,-20.078506,6.236251472495496,0.0,6.236251472495496,107.43528905885819,1.0994709826579838
Новосибирская область,2016,2,-8.034624,19.577569691344905,0.0,19.577569691344905,85.7759673969868,0.8303287185466639
Новосибирская область,2016,3,-4.1453137,21.357080371142963,0.0,21.357080371142963,47.170901534983365,0.35061587275809925
Новосибирская область,2016,4,6.6538134,49.44193992190636,33.269067,16.17287292190636,57.10752298439423,0.4740899517833644
Новосибирская область,2016,5,10.535246,31.74954246002464,52.676230000000004,-20.926687539975365,16.60326575307396,-0.02922255576277196
Новосибирская область,2016,6,19.060333,57.42979239457502,95.301665,-37.87187260542498,-42.62568722349398,-0.7652111870742787
Новосибирская область,2016,7,20.149536,115.41093834460928,100.74768,14.663258344609275,-44.13530180079107,-0.7839699040651453
Новосибирская область,2016,8,18.22634,27.131746349080156,91.1317,-63.999953650919835,-87.20856791173554,-1.3192053350148025
Новосибирская область,2016,9,13.937512,16.491772886455202,69.68756,-53.1957871135448,-102.53248241985537,-1.5096227963808262
Новосибирская область,2016,10,-2.3707023,40.99369461022509,0.0,40.99369461022509,-76.20204615423955,-1.1824365002355592
Новосибирская область,2016,11,-12.934996,50.44428191219385,0.0,50.44428191219385,38.24218940887414,0.23966623939771617
Новосибирская область,2016,12,-14.213721,57.54998432730253,0.0,57.54998432730253,148.98796084972147,1.6158112605418868
Новосибирская область,2017,1,-15.06241,36.81217001853749,0.0,36.81217001853749,144.80643625803387,1.5638509538613163
Новосибирская область,2017,2,-13.566509,22.82253701583697,0.0,22.82253701583697,117.184691361677,1.2206186460278834
Новосибирская область,2017,3,-4.9906473,18.79620119696483,0.0,18.79620119696483,78.43090823133929,0.7390578152037394
Новосибирская область,2017,4,4.0849123,29.56622298090504,20.4245615,9.14166148090504,50.760399693706844,0.39521956240932815
Новосибирская область,2017,5,11.711743,52.62766091377498,58.558715,-5.931054086225018,22.00680859164485,0.037922748993269195
Новосибирская область,2017,6,19.096033,52.11106060932462,95.480165,-43.36910439067538,-40.158496995995364,-0.7345534788510689
Новосибирская область,2017,7,18.433123,90.3963510798147,92.16561499999999,-1.7692639201852813,-51.06942239708568,-0.8701344177116183
Новосибирская область,2017,8,17.529936,38.25097713834391,87.64967999999999,-49.398702861656076,-94.53707117251673,-1.4102705119832037
Новосибирская область,2017,9,9.102442,46.12516523697055,45.512209999999996,0.6129552369705564,-50.5550115448708,-0.8637422645495797
Новосибирская область,2017,10,1.127763,32.817489304842475,5.638815,27.178674304842474,-21.607073319843046,-0.5040304620809961
Новосибирская область,2017,11,-5.939763,35.233365647638074,0.0,35.233365647638074,63.024995189451104,0.5476214266812355
Новосибирская область,2017,12,-11.93723,32.58305832466636,0.0,32.58305832466636,94.99509827714691,0.9448871427189606
Новосибирская область,2018,1,-20.890625,21.536770397367384,0.0,21.536770397367384,89.35319436967183,0.8747799244384621
Новосибирская область,2018,2,-14.609577,11.723581310695945,0.0,11.723581310695945,65.8434100327297,0.5826435092730599
Новосибирская область,2018,3,-8.2680855,27.155437503989116,0.0,27.155437503989116,60.415789212052445,0.5151990075836842
Новосибирская область,2018,4,2.4408443,54.556997624727394,12.204221500000001,42.35277612472739,81.23179493941245,0.7738620903282531
Новосибирская область,2018,5,6.153806,86.21987570693287,30.76903,55.45084570693287,124.95905933564937,1.3172242106533396
Новосибирская область,2018,6,17.969534,85.28115630722962,89.84767,-4.566513692770371,93.23710813888988,0.9230420704917546
Новосибирская область,2018,7,18.586779,60.28548606353788,92.933895,-32.648408936462125,18.23592307770037,-0.008934889522447224
Новосибирская область,2018,8,16.428528,77.76218297631026,82.14264,-4.380457023689743,-41.59537965292224,-0.7524084171351414
Новосибирская область,2018,9,10.821557,45.07962143263565,54.107785,-9.028163567364352,-46.05702952751622,-0.8078496062760787
Новосибирская область,2018,10,4.3050284,46.2352079033183,21.525142000000002,24.710065903318295,11.3014453122642,-0.09510384141093593
Новосибирская область,2018,11,-8.328944,74.99703961066328,0.0,74.99703961066328,90.67894194661721,0.8912538800899591
Новосибирская область,2018,12,-19.139435,16.90303499533389,0.0,16.90303499533389,116.61014050931544,1.2134791834137844
Новосибирская область,2019,1,-14.616191,14.543504743556229,0.0,14.543504743556229,106.4435793495534,1.0871478360391618
Новосибирская область,2019,2,-16.507154,17.25291898359473,0.0,17.25291898359473,48.69945872248485,0.36960997371334753
Новосибирская область,2019,3,-3.0006104,19.44716925575183,0.0,19.44716925575183,51.24359298290279,0.4012238010409805
Новосибирская область,2019,4,2.7494903,26.996008560348017,13.7474515,13.248557060348016,49.948645299694576,0.3851325698932432
Новосибирская область,2019,5,10.550374,29.926899893066057,52.75187,-22.82497010693394,9.870756209165908,-0.11288181758482126
Новосибирская область,2019,6,15.635169,84.28744612834774,78.175845,6.111601128347743,-3.46481191823818,-0.27859176247836703
