region,year,subsidy_main,subsidy_secondary,subsidy_third,subsidy_col_4,subsidy_col_5,subsidy_col_6,subsidy_col_7,subsidy_col_8,subsidy_col_9,subsidy_col_10
Ленинградская область,2017,123000000280.0,3212.0429999999997,1618687418.6858,768124465.4701811,729719834.2715706,38408256.11298106,729718243.1874197,1621.5209052100001,768124410.2870499,729719826.0516646
Ленинградская область,2018,123000000336.0,2735203484.0,2800059200.0,5195277400.17,5395213488.24,3673508000.17,3995083559.1600003,1458524386.66,5253667637.65,5394908273.18
Ленинградская область,2019,123000000336.0,1921.477,1129972060.0844858,130040019.58682369,63722106.52585134,66327624.080023624,63720642.91427603,1363828.7032236098,130040409.15538612,63722087.59873131
Ленинградская область,2020,123000000392.0,2207.5652999999998,2468081910.265,498849371.55349463,244439546.31430116,753260955.0491947,488872435.0737982,753259352.8917711,488872445.74000394,254415579.4451926
Ленинградская область,2021,41000000532.0,2303.37208,1466.98859,3851.3597278599996,4737.622457539999,3124.65095085,3278.29583998,1487.60277394,3875.0680668099994,4652.122910759999
Ленинградская область,2022,41000000504.0,1675.6666,1053.916,2909.17598218,3475.41049181,2315.4259780099997,2422.80119327,1077.91070794,2922.7517865400005,3475.3950302200005
Ленинградская область,2023,560.0,3040.9105999999997,0.0,5906.00985064,3028.2941,2877.7157506399994,3028.27794742,178.52156565000004,5905.97826948,3028.27794742
Ленинградская область,2024,476.0,2869.6991,0.0,5182.21620033,2782.4075,2399.8087003299997,2782.3954398299998,30.77237424,5182.19270869,2782.3954398299998
Липецкая область,2016,126000000143.0,9222.463749999999,106700562.80835,150494211.25515,38137287.2937,112367084.59975,32797354.48535,106700429.93849412,145158917.21339673,38136864.69185561
Липецкая область,2017,126000000110.0,7049.494,3587860287.8567,1796636160.2275693,1704157116.0247428,92486631.59026922,1704153528.623503,3593.67020922,1796636135.4979866,1704157085.4772396
Липецкая область,2018,126000000132.0,9439833133.0,9556331600.0,12024590887.99,15746919168.99,6662923587.990001,10960564452.05,4803275685.639999,12044059232.96,15730633450.82
