region,year,area_total,level
Курская область,2014,982.3839999999999,region
Курская область,2015,1066.015,region
Курская область,2016,1056.874,region
Курская область,2017,1023.434,region
Курская область,2018,969.128,region
Курская область,2019,967.613,region
Курская область,2020,1041.14,region
Курская область,2021,1002.638,region
Курская область,2022,992.35588,region
Курская область,2023,958.555,region
Ленинградская область,2007,29.053,region
Ленинградская область,2008,34.003,region
Ленинградская область,2009,36.462,region
Ленинградская область,2010,31.556,region
Ленинградская область,2011,37.131,region
Ленинградская область,2012,34.871,region
Ленинградская область,2013,35.343,region
Ленинградская область,2014,38.565,region
Ленинградская область,2015,41.821,region
Ленинградская область,2016,46.741,region
Ленинградская область,2017,41.787,region
Ленинградская область,2018,38.453,region
Ленинградская область,2019,39.388,region
Ленинградская область,2020,41.433,region
Ленинградская область,2021,42.617,region
Ленинградская область,2022,45.53666,region
Ленинградская область,2023,44.43431,region
Липецкая область,2007,722.0310000000001,region
Липецкая область,2008,797.595,region
Липецкая область,2009,809.267,region
Липецкая область,2010,760.074,region
Липецкая область,2011,790.974,region
Липецкая область,2012,756.571,region
Липецкая область,2013,781.631,region
Липецкая область,2014,762.188,region
Липецкая область,2015,806.906,region
Липецкая область,2016,820.7429999999999,region
Липецкая область,2017,781.641,region
Липецкая область,2018,754.141,region
Липецкая область,2019,796.567,region
Липецкая область,2020,839.475,region
Липецкая область,2021,821.155,region
Липецкая область,2022,834.62463,region
Липецкая область,2023,794.66834,region
Московская область,2007,85.793,region
Московская область,2008,94.809,region
Московская область,2009,84.27600000000001,region
Московская область,2010,85.41000000000001,region
Московская область,2011,94.405,region
Московская область,2012,94.574,region
Московская область,2013,98.419,region
Московская область,2014,103.288,region
Московская область,2015,133.618,region
Московская область,2016,144.76,region
Московская область,2017,148.186,region
Московская область,2018,137.077,region
Московская область,2019,147.939,region
Московская область,2020,165.096,region
Московская область,2021,163.583,region
Московская область,2022,174.20902,region
Московская область,2023,189.04945,region
Нижегородская область,2007,581.836,region
Нижегородская область,2008,597.282,region
Нижегородская область,2009,592.441,region
Нижегородская область,2010,562.407,region
Нижегородская область,2011,612.13,region
Нижегородская область,2012,535.273,region
Нижегородская область,2013,544.16,region
Нижегородская область,2014,528.6020000000001,region
Нижегородская область,2015,561.668,region
Нижегородская область,2016,583.485,region
Нижегородская область,2017,559.359,region
Нижегородская область,2018,545.164,region
Нижегородская область,2019,550.974,region
Нижегородская область,2020,578.584,region
Нижегородская область,2021,594.435,region
Нижегородская область,2022,633.9253,region
Нижегородская область,2023,646.11461,region
Новгородская область,2007,6.702999999999999,region
Новгородская область,2008,9.268999999999998,region
Новгородская область,2009,11.298,region
Новгородская область,2010,11.691,region
Новгородская область,2011,13.038,region
Новгородская область,2012,12.518,region
Новгородская область,2013,12.794,region
Новгородская область,2014,14.536,region
Новгородская область,2015,16.662,region
Новгородская область,2016,21.184,region
Новгородская область,2017,12.475,region
Новгородская область,2018,9.907,region
Новгородская область,2019,15.249,region
Новгородская область,2020,12.064,region
Новгородская область,2021,13.375,region
Новгородская область,2022,9.092,region
Новгородская область,2023,12.0815,region
Новосибирская область,2007,1591.172,region
Новосибирская область,2008,1656.645,region
Новосибирская область,2009,1713.713,region
Новосибирская область,2010,1561.302,region
Новосибирская область,2011,1658.002,region
Новосибирская область,2012,1626.944,region
Новосибирская область,2013,1563.687,region
Новосибирская область,2014,1548.203,region
Новосибирская область,2015,1517.978,region
Новосибирская область,2016,1556.134,region
Новосибирская область,2017,1605.389,region
Новосибирская область,2018,1403.339,region
Новосибирская область,2019,1416.042,region
Новосибирская область,2020,1482.759,region
Новосибирская область,2021,1505.046,region
Новосибирская область,2022,1535.09818,region
Новосибирская область,2023,1569.3734,region
Омская область,2007,2027.401,region
Омская область,2008,2036.781,region
Омская область,2009,2121.187,region
Омская область,2010,1893.513,region
Омская область,2011,1955.186,region
Омская область,2012,2031.29,region
Омская область,2013,2103.999,region
Омская область,2014,2147.108,region
Омская область,2015,2145.983,region
Омская область,2016,2170.989,region
Омская область,2017,2141.162,region
Омская область,2018,1950.782,region
Омская область,2019,1945.069,region
Омская область,2020,2028.404,region
Омская область,2021,1997.703,region
Омская область,2022,2009.64906,region
Омская область,2023,2127.723,region
Оренбургская область,2007,2746.664,region
Оренбургская область,2008,2936.543,region
Оренбургская область,2009,3040.911000000001,region
Оренбургская область,2010,2808.034,region
Оренбургская область,2011,2628.131,region
Оренбургская область,2012,2790.373,region
Оренбургская область,2013,2888.495,region
Оренбургская область,2014,2966.776,region
Оренбургская область,2015,2742.43,region
Оренбургская область,2016,2721.076,region
Оренбургская область,2017,2692.059,region
Оренбургская область,2018,2706.042,region
Оренбургская область,2019,2629.084,region
Оренбургская область,2020,2754.376,region
Оренбургская область,2021,2592.485,region
Оренбургская область,2022,2385.0761,region
Оренбургская область,2023,2639.73643,region
Орловская область,2007,629.221,region
Орловская область,2008,746.478,region
Орловская область,2009,795.535,region
Орловская область,2010,780.952,region
Орловская область,2011,763.5100000000001,region
Орловская область,2012,773.063,region
Орловская область,2013,804.038,region
Орловская область,2014,789.497,region
Орловская область,2015,892.572,region
Орловская область,2016,941.082,region
Орловская область,2017,885.9780000000001,region
Орловская область,2018,879.562,region
Орловская область,2019,894.591,region
Орловская область,2020,948.954,region
Орловская область,2021,896.642,region
Орловская область,2022,845.95481,region
Орловская область,2023,840.26799,region
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2018,13039.012,region
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2019,12871.536,region
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2020,13390.691,region
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2021,13172.374,region
Пензенская область,2007,727.8340000000001,region
Пензенская область,2008,788.4889999999999,region
Пензенская область,2009,771.0390000000001,region
Пензенская область,2010,639.9509999999999,region
Пензенская область,2011,570.562,region
Пензенская область,2012,596.838,region
Пензенская область,2013,622.148,region
Пензенская область,2014,549.3729999999999,region
Пензенская область,2015,698.22,region
Пензенская область,2016,714.47,region
Пензенская область,2017,721.382,region
Пензенская область,2018,717.557,region
Пензенская область,2019,800.352,region
Пензенская область,2020,850.495,region
Пензенская область,2021,853.573,region
Пензенская область,2022,857.39388,region
Пензенская область,2023,842.56195,region
Пермский край,2007,350.898,region
Пермский край,2008,344.153,region
Пермский край,2009,305.973,region
Пермский край,2010,285.36,region
Пермский край,2011,282.138,region
Пермский край,2012,254.269,region
Пермский край,2013,268.308,region
Пермский край,2014,244.013,region
Пермский край,2015,248.47,region
Пермский край,2016,247.486,region
Пермский край,2017,250.4,region
Пермский край,2018,236.869,region
Пермский край,2019,230.991,region
Пермский край,2020,231.118,region
Пермский край,2021,238.899,region
Пермский край,2022,230.9426,region
Пермский край,2023,217.61294,region
Приволжский Федеральный округ,2007,13297.551,federal_district
