region,region_std,year,production,area_total,temp_annual_mean,prec_annual_sum,temp_grow_mean,prec_grow_sum,prec_winter_sum,temp_annual_lag1,prec_annual_lag1,temp_grow_lag1,prec_grow_lag1,ln_production,ln_area,temp_grow_sq,prec_grow_sq
Томская область,Томская область,2021,403500.0,167.22,-0.23932805000000013,597.1022702029351,11.659262883333334,365.78170129832824,179.03504312858263,3.0046173416666666,670.3839771642462,13.700373166666665,384.2183462082724,12.90793176669214,5.119310310721912,135.93841098267433,133796.25300469942
Томская область,Томская область,2022,452700.0,175.16174,0.7571158833333334,510.4715066881699,11.737035583333332,357.20749889717325,176.72521784055925,-0.23932805000000013,597.1022702029351,11.659262883333334,365.78170129832824,13.02298493342405,5.1657097756586925,137.75800428443281,127597.19726837403
Томская область,Томская область,2023,333700.0,166.09878,1.6125965000000004,321.98363121647736,11.9047075,183.60050902247448,93.2245957241084,0.7571158833333334,510.4715066881699,11.737035583333332,357.20749889717325,12.717997664739466,5.112582671619367,141.72206066055625,33709.146913311735
Тульская область,Тульская область,2007,862220.0,423.338,6.5919009,676.3640798017683,14.996972733333335,359.9102336472324,153.89135775287832,,,,,13.667265737500273,6.048170914345815,224.90919116434353,129535.37628400543
Тульская область,Тульская область,2008,1333100.0,482.371,7.009998058333333,691.2229175808106,14.349723333333332,427.39577523500844,231.0665020308852,6.5919009,676.3640798017683,14.996972733333335,359.9102336472324,14.103017615101768,6.178713527519696,205.91455974321107,182667.14868873387
Тульская область,Тульская область,2009,1476454.8,524.124,5.9414458166666675,644.2712561505328,14.168772116666666,315.4141511190521,210.80571870793528,7.009998058333333,691.2229175808106,14.349723333333332,427.39577523500844,14.205154366761532,6.2617282975472985,200.7541032940308,99486.08672615225
Тульская область,Тульская область,2010,856100.0,513.1999999999999,6.456669725,573.140716394533,17.495460833333333,271.8957593375736,192.72330453845885,5.9414458166666675,644.2712561505328,14.168772116666666,315.4141511190521,13.660142470730577,6.240665632741481,306.09114977070067,73927.30394575576
Тульская область,Тульская область,2011,890500.0,497.828,5.88846612,583.7692453005816,15.422718833333334,345.57398730087004,261.7641839666738,6.456669725,573.140716394533,17.495460833333333,271.8957593375736,13.699538381711854,6.210254635840612,237.86025621205474,119421.38069902189
Тульская область,Тульская область,2012,1140900.0,464.698,5.686425891666667,752.8721446148429,15.508396,375.1588309947455,265.42401882722675,5.88846612,583.7692453005816,15.422718833333334,345.57398730087004,13.947327982584461,6.141387732229724,240.51034649281598,140744.148473344
Тульская область,Тульская область,2013,1199500.0,478.735,6.2353427083333335,769.8955465051902,14.792905166666666,485.0052126951795,273.87466816771615,5.686425891666667,752.8721446148429,15.508396,375.1588309947455,13.997415361261886,6.1711472084113215,218.83004326999333,235230.05634149633
Тульская область,Тульская область,2014,1464500.0,474.651,6.584840958333333,433.6903803248914,15.577169166666666,222.70118681635566,187.35169163664068,6.2353427083333335,769.8955465051902,14.792905166666666,485.0052126951795,14.197024445249925,6.162579797141136,242.64819924695067,49595.81860941334
Тульская область,Тульская область,2015,1465800.0,527.691,7.0881861025,644.1309562699939,14.915226033333333,389.27678367444,178.82754960175205,6.584840958333333,433.6903803248914,15.577169166666666,222.70118681635566,14.197911726473887,6.268510885121213,222.4639676254244,151536.41430791677
Тульская область,Тульская область,2016,1554800.0,570.548,6.0634542499999995,864.0844595030337,15.128193333333334,475.90467642878934,346.1372804074879,7.0881861025,644.1309562699939,14.915226033333333,389.27678367444,14.256857477960205,6.346597302485009,228.86223353071114,226485.2610467907
Тульская область,Тульская область,2017,1870800.0,590.755,6.156877311666666,704.5623681356309,13.850001166666667,358.53821768231626,254.4616699146606,6.0634542499999995,864.0844595030337,15.128193333333334,475.90467642878934,14.441876704833868,6.381401379848381,191.82253231666803,128549.653538812
Тульская область,Тульская область,2018,1732300.0,546.394,6.121856083333334,470.262750346482,16.113984233333333,221.81417330592785,273.12663045156245,6.156877311666666,704.5623681356309,13.850001166666667,358.53821768231626,14.364960563267033,6.303340327229964,259.66048787211525,49201.52747939219
Тульская область,Тульская область,2019,2023600.0,588.842,7.366505781249999,590.040372389366,14.953214000000001,327.13913747728384,215.54834240176837,6.121856083333334,470.262750346482,16.113984233333333,221.81417330592785,14.520388661399918,6.378157896392434,223.59860892979603,107020.01526938121
Тульская область,Тульская область,2020,2578800.0,637.558,7.724384708333333,690.1978983162803,14.371440716666667,431.7091717117114,188.80742892322348,7.366505781249999,590.040372389366,14.953214000000001,327.13913747728384,14.762834732418602,6.457645253286273,206.53830827266452,186372.80894001192
Тульская область,Тульская область,2021,2205700.0,620.405,6.034598566666666,707.972895763793,15.441519499999998,395.1771016057355,248.1140692606783,7.724384708333333,690.1978983162803,14.371440716666667,431.7091717117114,14.60655547680068,6.430372490586477,238.4405244688802,156164.94163350982
